STATE,CLUSTER,HOMEOWNR,GENDER,DATASRCE,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B,MINRDATE_MM,MAXRDATE_MM,LASTDATE_MM,FIRSTDATE_MM,HV3,HV4,ANC6,MHUC2,HPHONE_D,RFA_2F
WI,18,H,F,3,F,B,S,2,2,5,2,9,8,5,0,4,1,3
other,24,H,F,3,D,C,C,1,12,4,2,4,5,4,0,3,1,3
other,40,H,F,2,E,C,R,2,7,1,4,8,3,3,0,3,1,1
IN,34,H,M,2,F,C,T,1,11,3,2,9,3,3,0,3,1,1
WA,5,H,M,3,F,A,U,2,9,10,12,1,5,5,0,2,0,2
TX,31,H,M,2,F,C,C,3,1,12,12,1,2,2,0,2,0,1
IL,44,U,F,2,F,B,R,2,2,1,2,10,3,2,0,4,0,2
NC,32,H,F,3,F,B,C,3,1,5,11,2,3,3,0,2,1,1
NC,27,H,F,2,D,B,C,2,12,3,9,4,3,3,0,2,1,3
FL,18,H,F,3,E,A,S,2,2,7,1,2,4,4,0,2,0,1
IL,36,H,M,2,F,C,T,2,8,12,8,8,3,3,1,2,0,1
CA,46,H,F,3,G,A,R,2,9,4,1,9,6,6,0,3,0,2
CA,3,U,F,2,E,A,U,1,1,12,3,12,7,7,0,2,1,4
other,50,H,F,2,F,D,R,3,11,12,12,1,1,1,0,2,0,1
TX,18,H,M,3,F,A,S,2,9,4,6,9,5,4,0,1,0,2
IN,44,H,F,2,F,C,R,2,9,2,2,10,3,3,0,4,0,1
TX,40,H,M,3,F,A,T,2,2,2,2,2,4,3,0,2,1,1
GA,44,H,F,2,F,B,R,2,8,8,8,8,3,3,0,3,0,1
other,53,H,M,2,F,D,R,3,1,7,7,11,1,1,0,2,0,2
TX,40,H,F,3,F,A,T,2,1,12,12,1,3,3,0,3,1,1
GA,46,H,M,3,F,D,R,2,8,8,8,8,2,2,0,2,1,1
NC,17,H,F,3,D,B,S,2,3,1,1,1,5,4,0,3,1,4
FL,28,H,M,3,G,B,C,2,10,1,1,9,5,5,0,2,1,2
IL,43,H,F,3,E,A,R,2,10,9,3,10,2,1,0,2,0,1
CA,7,H,F,3,G,A,U,2,2,2,2,2,7,7,0,2,1,1
IN,45,U,M,2,G,D,R,2,6,12,12,12,2,2,0,2,0,1
CA,37,H,F,2,D,C,T,2,5,9,9,9,3,3,0,2,0,3
other,40,H,other,3,G,D,T,2,12,3,2,7,3,3,0,2,1,1
other,14,U,F,2,F,B,S,1,4,4,4,4,6,5,0,2,0,1
NC,53,H,F,3,F,D,R,3,3,9,9,3,2,1,0,2,0,1
CA,10,H,M,2,E,A,U,4,5,1,1,9,5,5,0,2,0,2
MI,24,H,F,3,F,A,C,1,10,1,10,4,7,5,0,3,1,3
other,38,H,F,3,G,A,T,2,10,12,12,10,11,11,0,3,1,1
IL,21,H,M,2,E,A,S,3,9,12,11,9,4,4,0,2,0,3
CA,13,H,F,2,F,A,S,1,1,3,11,1,10,10,1,3,0,2
FL,9,H,F,3,F,A,U,3,4,9,2,8,5,4,3,0,1,2
WI,11,H,M,1,G,B,S,1,5,11,5,1,5,5,0,4,1,1
FL,28,U,M,1,F,B,C,2,1,5,5,1,4,4,1,2,1,1
TX,11,H,F,3,E,A,S,1,9,5,10,9,3,3,0,5,1,3
other,46,U,M,2,F,D,R,2,10,10,10,10,3,2,0,3,0,1
CA,7,H,F,3,F,A,U,2,9,12,4,9,5,5,0,0,0,1
GA,43,U,F,1,F,B,R,2,10,3,3,11,2,1,0,2,1,1
CA,3,H,F,3,F,A,U,1,1,12,12,1,7,7,0,2,0,2
other,28,H,M,1,F,C,C,2,4,12,3,4,2,2,0,1,1,1
FL,29,H,F,3,G,B,C,2,2,2,2,2,8,7,2,4,1,1
TX,30,H,F,3,G,C,C,3,4,1,1,2,2,2,0,2,1,1
other,25,H,M,3,G,B,C,2,12,12,12,12,3,3,0,0,0,1
NC,45,H,F,2,F,D,R,2,2,1,10,10,2,1,0,3,0,1
other,31,H,M,3,D,B,C,3,11,4,12,10,2,2,0,2,1,4
GA,18,H,M,3,E,A,S,2,9,9,9,9,5,5,0,2,1,3
other,27,H,M,3,E,C,C,2,11,8,12,9,3,3,0,2,1,4
other,45,H,F,3,E,D,R,2,10,5,11,10,2,1,0,2,1,1
other,36,H,F,3,F,C,T,2,10,12,12,10,4,3,0,3,1,1
MO,40,H,M,3,D,C,T,2,2,10,12,7,2,2,0,2,0,4
FL,29,H,F,3,E,B,C,2,6,3,6,1,5,5,1,2,1,1
CA,13,H,M,3,F,A,S,1,2,2,2,2,7,7,0,3,0,1
FL,4,U,F,2,F,A,U,2,3,11,12,12,0,0,0,0,1,2
other,12,U,F,2,E,B,S,1,6,11,2,1,4,3,0,2,0,3
CA,10,H,F,3,G,A,U,4,11,7,3,4,5,5,0,2,1,2
other,44,U,M,2,E,B,R,2,7,10,3,5,2,1,0,3,1,2
TX,3,H,F,3,G,A,U,1,7,1,1,7,9,7,0,4,0,1
CA,22,H,F,3,G,A,C,1,9,12,12,9,9,9,0,0,0,2
other,41,H,F,3,D,B,T,3,2,8,1,2,3,2,0,1,0,4
FL,18,H,M,3,G,B,S,2,3,5,8,10,4,4,0,2,1,1
other,51,U,F,2,F,D,R,3,9,1,1,9,1,0,0,4,0,1
CA,13,H,M,3,G,A,S,1,2,2,3,2,5,6,0,2,1,1
TX,24,U,other,1,E,C,C,1,12,1,3,8,4,4,0,3,1,1
TX,49,H,M,3,F,D,R,2,1,2,2,9,2,2,0,2,1,1
NC,36,H,F,3,F,D,T,2,2,2,2,2,2,2,0,2,1,1
CA,24,H,M,2,G,A,C,1,9,1,10,9,8,7,0,4,0,2
other,12,H,F,3,F,B,S,1,1,1,1,1,6,7,0,2,1,1
other,13,H,M,3,G,B,S,1,2,2,2,2,5,4,0,2,1,1
other,43,H,M,3,G,B,R,2,11,11,12,3,2,2,4,2,1,3
other,24,H,F,3,E,B,C,1,6,10,2,6,6,5,0,2,1,3
TX,13,H,M,3,G,A,S,1,10,9,1,6,12,10,0,4,1,1
other,18,H,F,3,E,C,S,2,3,11,3,6,5,6,0,2,0,4
MO,39,U,M,3,E,D,T,2,9,4,12,9,4,1,0,1,0,4
other,43,H,M,3,F,D,R,2,12,12,12,2,3,2,0,2,1,1
FL,23,H,F,3,D,B,C,1,4,5,12,9,7,7,1,3,0,4
FL,33,H,M,2,F,A,C,3,6,2,6,2,4,4,1,1,0,1
CA,24,H,M,3,E,A,C,1,2,2,2,10,7,7,0,4,1,2
FL,49,H,F,3,G,B,R,2,10,10,10,10,4,4,0,3,0,2
FL,40,U,F,2,F,B,T,2,11,8,11,1,5,4,0,2,0,2
other,8,H,F,3,F,A,U,3,8,12,12,4,4,3,0,4,1,1
other,8,U,M,1,E,B,U,3,11,4,10,10,3,3,0,2,1,3
other,31,H,F,2,G,B,C,3,1,1,1,1,3,3,0,2,0,1
FL,37,H,F,2,F,C,T,2,11,12,12,11,3,3,0,2,0,1
IL,13,H,F,3,E,A,S,1,11,2,2,3,5,6,1,4,0,3
other,14,H,F,2,F,A,S,1,7,10,10,7,9,8,0,4,0,1
IL,13,H,F,2,G,A,S,1,4,11,4,4,9,6,0,4,0,1
IL,30,H,F,3,G,B,C,3,2,12,12,1,2,2,0,2,1,1
MI,40,H,F,3,F,A,T,2,11,9,9,11,3,2,0,3,1,1
CA,3,U,F,2,F,A,U,1,2,12,12,2,6,6,0,5,0,1
MI,24,H,M,3,F,C,C,1,9,8,11,9,6,2,0,4,1,4
IL,36,U,F,3,G,B,T,2,1,3,12,1,2,2,0,2,1,2
TX,12,H,M,3,G,B,S,1,1,3,3,1,4,4,0,3,0,2
MI,44,H,M,3,F,A,R,2,10,7,7,10,3,2,0,2,1,1
other,40,H,F,2,F,C,T,2,12,4,2,2,5,5,0,3,0,1
WA,40,H,M,2,E,A,T,2,11,2,1,1,4,4,0,2,1,4
IL,7,H,F,3,F,A,U,2,7,12,12,9,4,4,0,3,0,1
FL,30,H,F,3,F,B,C,3,3,5,1,3,4,3,0,2,1,3
MI,17,U,F,3,G,A,S,2,12,12,12,10,5,5,0,3,1,1
MO,36,H,F,2,F,D,T,2,10,10,10,9,2,1,0,2,1,1
IN,49,H,M,3,F,C,R,2,11,6,12,3,2,1,1,2,0,1
CA,14,H,M,2,G,B,S,1,2,12,12,2,6,6,1,3,0,1
FL,28,H,F,3,D,B,C,2,3,10,11,3,5,5,0,2,1,4
IN,44,H,M,3,E,B,R,2,6,1,1,6,3,1,0,2,0,3
other,45,U,F,1,F,B,R,2,2,1,1,2,3,3,0,2,1,1
TX,10,H,F,1,E,C,U,4,9,2,12,9,2,2,0,1,0,3
CA,15,H,F,3,G,A,S,1,9,7,7,9,8,8,2,2,0,1
TX,32,H,F,3,G,A,C,3,10,5,5,10,3,2,0,2,1,1
other,36,U,M,3,G,C,T,2,3,3,11,9,2,2,0,2,1,1
other,27,H,M,3,F,C,C,2,10,12,7,10,3,3,0,2,0,1
FL,53,H,M,3,E,C,R,3,1,12,12,1,2,2,0,3,0,3
other,51,U,M,3,F,D,R,3,7,4,4,2,1,1,0,2,1,1
CA,24,H,F,3,F,C,C,1,1,12,12,1,5,5,0,2,1,1
MI,36,H,F,3,G,D,T,2,9,9,2,9,2,2,0,2,0,3
other,12,H,M,3,E,B,S,1,5,8,2,4,4,4,0,2,1,4
other,30,U,M,2,F,C,C,3,7,9,9,9,2,2,0,2,0,1
other,31,H,M,3,E,C,C,3,5,10,3,11,3,3,0,2,1,2
NC,22,H,F,3,E,B,C,1,4,9,2,1,5,5,0,2,1,4
other,31,H,M,3,E,B,C,3,3,12,12,9,3,3,0,2,0,3
FL,22,U,F,2,F,B,C,1,2,12,12,2,3,3,1,2,1,2
other,40,H,M,3,F,B,T,2,10,10,10,10,4,4,0,2,0,1
GA,39,U,F,1,F,B,T,2,1,1,1,1,4,3,0,0,1,1
CA,46,H,F,3,E,B,R,2,1,1,1,2,4,4,0,2,0,4
GA,27,H,M,3,F,B,C,2,11,12,12,11,3,3,0,2,1,1
MI,32,U,F,2,F,B,C,3,10,1,1,10,4,4,0,2,0,2
FL,27,U,F,3,D,B,C,2,12,4,12,6,4,4,7,2,1,4
other,16,H,F,2,G,B,S,2,1,1,1,1,3,3,0,2,0,1
TX,40,U,F,2,F,A,T,2,7,1,10,1,4,4,0,3,0,1
CA,35,H,F,3,G,A,T,1,10,12,12,10,10,10,0,3,1,1
MI,43,H,M,3,F,D,R,2,10,8,11,7,2,1,0,2,1,2
CA,44,H,F,3,F,A,R,2,3,3,3,3,4,2,0,0,1,1
CA,10,U,F,2,F,A,U,4,2,2,2,2,4,4,0,2,0,1
FL,9,H,F,3,F,C,U,3,1,6,6,1,2,2,0,2,1,1
WA,27,H,F,3,F,A,C,2,10,12,12,10,6,5,0,2,1,1
other,41,H,F,2,F,D,T,3,8,3,3,8,1,1,0,1,1,2
NC,40,H,F,3,E,D,T,2,3,7,9,3,5,4,0,2,1,3
other,10,H,other,3,F,A,U,4,2,10,2,10,0,0,0,0,0,2
other,51,H,M,3,F,D,R,3,10,11,11,10,1,0,0,2,0,2
CA,20,H,F,3,G,A,S,2,9,11,1,9,6,7,1,2,0,3
FL,46,H,F,3,E,B,R,2,4,2,11,8,3,3,0,2,1,1
other,51,H,M,3,G,B,R,3,1,1,1,1,7,7,1,3,0,1
CA,1,H,F,3,F,A,U,1,3,2,3,2,7,8,0,2,1,2
other,18,U,M,2,G,B,S,2,6,6,6,6,4,4,0,3,0,1
NC,38,U,F,2,D,C,T,2,3,5,10,2,3,3,2,2,0,4
CA,35,H,F,3,F,A,T,1,10,12,12,10,8,7,0,3,0,1
other,49,H,F,3,E,D,R,2,12,9,12,2,2,2,0,2,0,4
TX,16,H,F,3,F,A,S,2,2,3,3,2,3,3,0,2,1,1
FL,46,H,F,3,F,C,R,2,1,1,1,1,4,3,0,1,0,1
CA,40,H,M,3,G,B,T,2,1,1,1,1,4,3,0,2,0,1
GA,15,U,M,3,G,C,S,1,10,10,10,10,4,5,0,2,1,1
MI,10,H,F,2,D,A,U,4,11,2,12,2,3,3,0,1,0,3
other,5,H,M,3,E,B,U,2,5,4,1,10,4,3,0,1,1,3
WA,40,H,M,3,E,A,T,2,1,7,1,1,4,4,0,4,1,3
GA,40,H,M,2,E,C,T,2,7,3,3,6,4,4,0,3,0,3
MI,38,H,F,3,E,A,T,2,7,6,1,1,4,3,1,3,1,4
WA,39,H,M,2,F,C,T,2,12,5,11,12,5,5,0,2,1,2
other,23,H,F,3,F,A,C,1,4,6,6,1,11,9,0,1,0,2
CA,12,H,F,3,G,A,S,1,9,12,4,12,5,6,0,2,0,1
FL,37,U,M,2,F,B,T,2,2,12,1,2,3,3,0,2,0,3
WA,24,H,M,3,F,C,C,1,11,4,8,2,3,3,0,2,1,2
TX,24,H,M,3,G,A,C,1,2,4,7,9,11,7,0,4,0,3
CA,10,H,F,3,G,A,U,4,6,3,3,1,4,4,0,2,1,2
CA,30,H,M,3,F,A,C,3,1,2,2,1,7,7,0,2,1,1
other,11,H,M,2,F,B,S,1,2,11,11,2,3,3,0,2,1,1
CA,2,H,M,2,F,A,U,1,7,9,4,9,12,10,0,2,0,1
CA,46,H,F,2,F,A,R,2,10,11,11,10,4,4,0,2,0,1
FL,23,H,M,3,E,A,C,1,5,9,8,2,6,6,0,3,1,3
IN,24,H,M,3,F,C,C,1,12,10,10,12,3,3,1,3,0,1
NC,32,U,M,3,F,B,C,3,3,3,3,10,1,1,0,2,1,2
NC,51,H,F,3,F,B,R,3,3,12,12,3,2,1,0,2,0,1
other,50,U,other,2,G,D,R,3,9,12,12,9,1,1,0,2,1,3
FL,42,U,M,1,E,D,R,1,9,2,2,9,4,4,1,2,1,3
other,11,H,M,3,D,C,S,1,7,9,12,2,4,4,0,3,0,4
CA,40,H,F,3,F,B,T,2,2,5,1,2,7,7,0,2,1,2
CA,12,H,F,2,F,A,S,1,1,8,8,1,6,6,0,2,0,1
IL,35,H,F,3,E,C,T,1,3,7,4,3,5,4,2,4,1,1
IL,18,H,F,3,F,A,S,2,12,10,11,3,5,5,0,4,1,1
CA,3,H,M,3,F,A,U,1,2,2,2,2,6,6,0,0,0,1
other,43,U,M,3,F,D,R,2,7,7,12,9,2,1,0,4,1,3
FL,40,H,F,2,F,B,R,2,1,11,1,9,3,3,0,2,0,3
FL,12,H,M,3,G,B,S,1,9,9,7,9,5,5,0,2,0,2
TX,12,H,F,3,F,B,S,1,6,3,4,2,7,6,0,3,1,1
GA,12,H,F,2,F,A,S,1,6,2,6,4,5,5,0,2,0,1
FL,29,H,F,3,E,A,C,2,12,4,1,12,7,6,2,3,1,2
CA,4,U,F,1,E,A,U,2,2,10,10,2,5,5,0,0,0,3
NC,22,H,F,3,G,B,C,1,2,11,11,2,4,5,0,4,1,1
other,5,H,F,3,E,A,U,2,2,10,1,2,4,4,0,2,1,4
CA,3,H,M,2,F,A,U,1,3,10,3,3,8,8,1,2,0,3
MO,15,H,M,2,G,A,S,1,7,1,1,1,5,4,0,3,1,3
WI,18,H,F,3,E,A,S,2,4,12,12,4,5,5,0,3,1,2
MO,12,H,M,3,E,A,S,1,12,11,7,11,5,5,0,2,1,2
TX,49,H,F,2,E,A,R,2,10,8,2,9,3,1,1,2,0,3
other,39,U,M,2,E,D,T,2,2,4,2,3,2,2,0,3,0,4
FL,34,H,F,3,F,B,T,1,1,1,1,1,4,5,0,4,1,1
other,46,H,M,3,F,D,R,2,3,3,6,10,2,2,0,2,1,2
CA,35,H,M,3,F,B,T,1,9,12,2,9,4,4,0,3,0,2
MO,40,H,M,3,D,D,T,2,6,12,11,5,4,4,0,2,0,3
CA,14,H,M,3,F,A,S,1,2,9,1,2,11,10,0,2,1,2
other,37,H,F,3,F,D,T,2,4,10,10,1,3,3,0,2,1,1
other,17,H,F,3,F,A,S,2,12,10,10,12,2,3,0,3,0,2
CA,35,H,M,2,G,A,T,1,1,12,12,1,9,9,1,5,0,2
CA,13,H,M,3,E,A,S,1,6,9,1,9,7,8,0,3,1,3
other,38,U,M,3,F,C,T,2,12,3,3,9,2,2,0,2,1,2
CA,10,H,F,3,F,A,U,4,1,3,3,1,4,4,0,3,0,2
FL,21,H,M,2,F,A,S,3,5,11,11,5,5,4,0,2,0,2
IL,41,H,F,2,E,D,T,3,7,1,1,7,2,3,0,2,0,3
other,21,H,F,2,F,A,S,3,11,12,12,12,3,1,0,3,0,1
FL,37,H,F,2,F,A,T,2,9,10,6,9,9,8,0,2,0,1
CA,24,H,F,3,G,B,C,1,10,7,12,10,7,5,0,3,0,3
TX,24,H,M,3,F,A,C,1,9,10,2,9,6,7,1,0,1,3
other,47,H,F,2,F,D,R,2,3,3,3,3,1,1,0,2,0,1
MI,36,H,M,2,F,C,T,2,3,11,2,11,3,2,1,2,1,2
other,36,H,M,3,D,B,T,2,11,6,2,1,2,2,0,2,1,4
IN,36,U,F,3,F,D,T,2,11,6,10,11,2,2,0,2,1,3
CA,27,H,M,3,E,C,C,2,4,1,12,2,3,2,0,3,0,2
other,10,H,F,3,G,A,U,4,10,6,6,10,0,0,0,0,0,2
GA,14,H,M,3,F,A,S,1,2,12,9,3,5,5,0,3,1,1
other,15,U,M,2,F,A,S,1,12,12,12,10,5,5,0,3,1,1
GA,25,H,F,3,F,A,C,2,1,5,3,1,5,5,0,2,0,2
MI,39,H,M,3,F,D,T,2,10,10,6,10,3,2,0,2,0,1
CA,15,H,F,3,F,B,S,1,10,5,5,10,6,6,0,3,0,1
WI,49,U,M,3,E,D,R,2,5,1,1,5,2,1,0,3,1,1
other,49,H,F,2,F,D,R,2,4,7,12,9,2,2,0,2,0,4
MI,45,H,M,3,E,C,R,2,6,3,3,6,3,3,3,2,1,3
MI,39,H,M,2,F,D,T,2,3,12,10,3,3,2,0,2,1,1
GA,23,H,M,3,E,A,C,1,3,4,3,4,6,6,0,3,1,2
TX,3,U,M,1,D,B,U,1,11,2,8,7,4,4,0,3,0,4
MO,43,H,M,3,F,B,R,2,12,8,12,1,2,2,0,2,1,2
IL,35,H,other,2,F,A,T,1,1,6,6,1,10,7,1,3,0,1
GA,27,H,F,1,F,A,C,2,10,12,12,10,6,5,4,2,1,1
NC,27,H,M,3,G,B,C,2,9,12,12,9,3,3,0,2,1,1
TX,18,H,F,3,G,A,S,2,1,5,5,1,5,4,0,3,1,1
IL,49,U,F,2,G,C,R,2,12,12,2,3,3,2,0,3,0,4
CA,5,H,F,3,F,B,U,2,6,6,6,6,4,4,0,2,0,1
other,46,H,F,2,F,B,R,2,10,10,10,10,3,3,0,1,0,1
other,27,H,M,2,D,C,C,2,9,10,9,10,3,3,0,2,0,4
CA,24,H,F,3,F,A,C,1,2,1,2,1,12,11,0,4,0,2
MI,10,U,F,3,F,A,U,4,2,1,2,4,2,2,0,2,1,2
NC,40,H,F,3,F,D,T,2,2,3,3,2,2,2,0,2,1,1
CA,15,U,M,2,F,A,S,1,1,12,12,1,7,7,0,2,0,1
other,41,H,M,2,F,A,T,3,1,7,1,9,3,3,0,2,0,2
WI,10,H,F,2,E,B,U,4,11,7,11,7,3,3,0,2,0,3
GA,24,H,other,1,F,A,C,1,5,11,1,1,7,6,0,3,1,4
IL,20,H,M,2,G,A,S,2,2,2,2,2,5,5,0,3,0,1
NC,17,H,F,3,G,B,S,2,4,11,11,9,3,2,0,2,0,1
IL,8,H,M,2,G,A,U,3,4,4,6,4,4,4,0,4,0,2
CA,35,H,F,2,F,C,T,1,9,5,4,9,7,7,1,3,0,1
other,30,H,M,3,F,C,C,3,9,10,1,9,2,1,0,1,1,1
FL,25,H,F,3,F,B,C,2,1,3,12,1,4,4,0,2,0,1
TX,30,H,F,2,F,A,C,3,2,1,9,2,3,2,0,1,0,2
other,4,H,F,3,E,B,U,2,10,10,6,2,3,3,0,2,1,2
other,28,H,F,3,F,C,C,2,11,4,5,10,5,5,1,2,1,2
NC,26,H,F,3,F,B,C,2,5,1,1,10,4,4,0,2,1,1
WI,27,H,F,3,F,B,C,2,11,4,4,6,3,3,0,3,1,1
MI,37,U,F,1,F,A,T,2,3,7,4,3,4,6,1,4,0,1
CA,2,U,F,1,F,A,U,1,11,11,11,11,9,9,0,2,0,1
TX,24,H,M,3,F,C,C,1,1,11,11,1,3,3,1,3,1,1
IL,24,H,F,3,F,C,C,1,1,12,12,1,4,4,0,3,1,1
CA,1,H,F,3,E,A,U,1,8,2,2,2,5,6,0,3,1,2
other,30,H,F,3,F,C,C,3,1,12,12,1,2,2,0,2,0,1
WA,46,H,M,3,G,D,R,2,10,9,10,9,3,2,0,2,0,2
FL,37,H,M,2,F,B,T,2,3,11,8,3,3,2,0,1,1,4
FL,29,H,F,3,F,B,C,2,7,1,1,7,8,7,2,4,0,2
MO,3,H,F,3,G,B,U,1,2,2,2,2,4,4,0,3,0,1
NC,40,H,M,3,E,B,R,2,11,5,2,7,2,2,0,2,0,1
TX,14,H,F,3,G,A,S,1,1,3,3,1,9,9,0,4,1,1
WI,53,H,F,2,F,D,R,3,5,5,5,5,2,2,0,2,0,1
other,24,U,F,1,F,B,C,1,10,3,3,10,6,6,0,4,0,2
MI,16,H,M,3,F,A,S,2,11,11,11,11,3,3,0,3,1,1
WA,11,U,M,3,F,A,S,1,1,2,2,1,4,5,2,2,0,1
TX,22,H,M,2,E,A,C,1,7,2,12,12,4,4,0,2,1,2
other,43,U,M,2,E,D,R,2,12,2,2,8,2,1,0,2,1,2
other,53,H,F,3,G,D,R,3,6,12,12,12,1,1,0,2,0,1
CA,37,H,F,3,E,A,T,2,5,1,1,9,4,4,1,2,0,1
other,12,H,M,2,F,B,S,1,11,5,11,12,8,6,0,3,0,2
TX,24,H,M,3,F,C,C,1,1,6,1,6,7,7,0,3,1,3
MI,40,U,F,2,F,B,T,2,4,10,2,3,4,3,5,3,0,2
MI,21,H,M,3,F,C,S,3,2,12,12,2,3,3,1,2,1,2
IL,12,H,M,3,G,A,S,1,10,10,10,10,9,9,0,4,1,1
other,53,H,F,3,D,D,R,3,3,6,3,1,2,2,0,2,1,4
CA,12,H,M,3,F,B,S,1,12,4,4,9,7,7,0,3,1,1
TX,41,U,F,2,E,C,T,3,9,4,12,2,1,1,0,2,0,2
NC,24,H,M,3,F,B,C,1,9,12,3,9,3,3,0,2,1,2
WI,18,H,F,1,F,B,S,2,4,9,9,4,5,4,0,4,1,1
NC,36,U,M,2,F,C,T,2,6,3,12,8,2,2,0,2,0,3
other,36,H,M,3,F,D,T,2,1,1,1,1,2,2,0,2,1,1
other,41,H,F,3,E,D,T,3,12,5,11,4,1,1,1,1,1,1
CA,10,H,F,1,E,B,U,4,2,1,2,9,4,4,0,2,0,2
other,42,H,M,3,F,D,R,1,12,1,12,1,7,7,0,2,0,1
FL,12,U,F,2,D,A,S,1,12,12,12,9,6,6,1,3,0,4
other,41,H,F,3,D,D,T,3,1,5,10,1,2,2,0,2,1,4
MI,17,H,M,2,G,A,S,2,10,12,12,6,5,5,0,3,0,3
other,42,H,F,2,F,C,R,1,4,8,9,3,8,7,0,2,0,1
other,36,U,F,1,E,B,T,2,2,6,7,2,3,2,1,2,1,3
IL,10,U,M,3,E,A,U,4,4,11,11,4,5,5,0,3,0,1
IL,28,H,M,3,G,A,C,2,7,9,12,7,2,2,0,2,1,4
WI,13,H,F,3,F,B,S,1,9,12,12,9,4,4,0,3,0,1
WA,44,H,F,2,E,A,R,2,4,11,3,2,4,3,0,2,0,3
CA,13,H,M,3,F,A,S,1,9,12,12,9,3,5,0,3,1,2
IL,16,H,M,2,G,A,S,2,1,1,1,1,5,4,0,2,0,1
other,44,U,F,3,G,C,R,2,1,6,6,9,3,2,0,2,1,1
other,36,H,M,3,F,B,T,2,2,12,12,9,2,2,0,2,1,1
WI,11,H,M,3,G,B,S,1,11,11,11,9,5,5,0,5,1,2
other,30,H,M,3,F,C,C,3,5,7,3,12,5,5,0,2,1,4
NC,32,H,F,3,E,C,C,3,7,2,2,12,2,2,0,2,1,2
WI,49,U,M,3,F,D,R,2,11,12,12,4,3,1,0,2,1,2
FL,28,H,F,3,D,A,C,2,10,3,3,11,4,4,0,3,0,4
